,id,title,canonical title,imdbIndex,kind,year,rating,mpaa,votes,runtimes,color info,genres,languages,plot,countries,director,writer,cast,certificates,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Short,Thriller,War,Western,Talk-Show,News,Game-Show,Reality-TV,History,Sport
0,tt0033991,Outlaws of the Rio Grande,Outlaws of the Rio Grande,null,movie,1941,null,null,null,[u'63'],[u'Black and White'],"[u'Action', u'Western']",[u'English'],"[u""Bob Day has been captured by Marlow's gang. When Tim Barton and sidekick Monte come looking for him, Tim is also captured. Escaping, Tim has a plan that will have the outlaws fighting among themselves.""]",[u'USA'],['Sam Newfield'],['George H. Plympton'],"['Tim McCoy', 'Virginia Carpenter', 'Charles King', 'Ralph Peters', 'Karl Hackett', 'Rex Lease', 'Felipe Turich', 'Frank Ellis', 'Kenne Duncan', 'Thornton Edwards', 'Joe Dominguez', 'Hank Bell', 'George Chesebro', 'Curley Dresden', 'Oscar Gahan', 'Augie Gomez', 'Herman Hack', 'Jack Hendricks', 'James Sheridan', 'Dirk Thane']",null,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,tt0035165,Overland Mail,Overland Mail,null,movie,1942,6.6,null,31,[u'279::(15 episodes)'],[u'Black and White'],[u'Western'],[u'English'],"[u""Government agents Jim Lane and Sierra Pete are sent to investigate the breakdown of the U.S. Mail delivery in the La Paz country, which is carried by the Overland Company operated by Tom Gilbert and his daughter Barbara. Aided by their friend, Buckskin Bill Burke, they discover that Frank Chadwick, using white renegades disguised as Indians, is behind the trouble as he wants the mail franchise owned by Gilbert's stage line."", u""Two investigators for a stagecoach company are assigned to find out why the company's stages keep being ambushed. They discover that the culprits are white men disguised as Indians, and they set out to discover who is behind the plot.""]",[u'USA'],"['Ford Beebe', 'John Rawlins']","['Paul Huston', 'Johnston McCulley']","['Lon Chaney Jr.', 'Helen Parrish', 'Noah Beery Jr.', 'Don Terry', 'Bob Baker', 'Noah Beery', 'Tom Chatterton', 'Charles Stevens', 'Robert Barron', 'Harry Cording', 'Marguerite De La Motte', 'Ben Taggart', 'Jack Rockwell', 'Riley Hill', 'Carleton Young', 'Ethan Laidlaw', 'Jack Rube Clifford', 'Chief Many Treaties', 'Chief Thundercloud', 'Roy Bucko', 'Horace B. Carpenter', 'Jack Casey', 'Iron Eyes Cody', 'J.W. Cody', 'Jim Corey', 'William Desmond', 'Art Dillard', 'Curley Dresden', 'Frank Ellis', 'William Gould', 'Henry Hall', 'Chick Hannan', 'George Hazel', 'Jim Mason', 'Bud McClure', 'William Moss', 'Buck Moulton', 'Charles Murphy', 'Bill Nestell', ""Dave O'Donnell"", ""Jack O'Shea"", 'Artie Ortego', 'Tex Palmer', 'Frank Pershing', 'Charles R. Phipps', 'Ruth Rickaby', 'George Sherwood', 'Tom Steele', 'Al Taylor', 'Forrest Taylor', 'Ray Teal', 'Harry Tenbrook', 'Blackjack Ward', 'Blackie Whiteford', 'Billy Wilkerson', 'Henry Wills']",null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,tt0036360,Six Gun Gospel,Six Gun Gospel,null,movie,1943,6.0,null,7,[u'59'],[u'Black and White'],[u'Western'],[u'English'],"[u""Shipments of gold from Goldville are being hijacked by a gang secretly headed by Ace Benton, the town's leading citizen. Benton is also trying to acquire all the town property, as he knows the railroad is planning a line through there. U.S. Marshals Nevada Jack McKenzie and Sandy Hopkins are sent in, with Sandy posing as a preacher. Mine owner Bill Simms is almost wiped out by previous holdups and Dan Baxter, in love with Simms' daughter Jane, offers to drive the next stage shipment and Sandy is to ride shotgun. Benton's gang, headed by Durkin intends to rob the stage.""]",[u'USA'],['Lambert Hillyer'],"['Ed Earl Repp', 'Adele Buffington']","['Johnny Mack Brown', 'Raymond Hatton', 'Inna Gest', 'Eddie Dew', 'Kenneth MacDonald', 'Edmund Cobb', 'Roy Barcroft', 'Bud Osborne', 'Isabel Withers', 'Mary MacLaren', 'Jack Daley', 'Artie Ortego', 'Lynton Brent', 'Milburn Morante', 'Kernan Cripps', 'Tom London', 'Victor Adamson', 'Ralph Bucko', 'Russell Custer', 'Rube Dalroy', 'Tex Driscoll', 'Jack Evans', 'Chick Hannan', 'Lew Morphy', 'George Morrell', 'Tex Palmer', 'Lew Porter']",null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,tt0037628,The Daltons Ride Again,"Daltons Ride Again, The",null,movie,1945,6.0,null,37,[u'72'],[u'Black and White'],[u'Western'],[u'English'],"[u'The four Dalton brothers learn that a friend of their father has been murdered by a group of land-grabbers and swindlers. The clean up the gang leaders and members, and then proceed to rob the bank controlled by the gang. During the robbery, three of the brothers are killed and the fourth is persuaded by his fianc\xe9e to give himself up.']",[u'USA'],['Ray Taylor'],"['Roy Chanslor', 'Paul Gangelin', 'Henry Blankfort']","['Alan Curtis', 'Lon Chaney Jr.', 'Kent Taylor', 'Noah Beery Jr.', ""Martha O'Driscoll"", 'Jess Barker', 'Thomas Gomez', 'John Litel', 'Milburn Stone', 'Walter Sande', 'Douglass Dumbrille', 'Victor Adamson', 'Richard Alexander', 'Stanley Andrews', 'Paul Birch', 'Virginia Brissac', 'Roy Butler', 'Ed Cassidy', 'Wheaton Chambers', 'George Chesebro', 'Al Choals', 'Davison Clark', 'Ben Corbett', 'Frank Dae', 'Cyril Delevanti', 'Dick Dickinson', 'Fern Emmett', 'Henry Hall', 'Geoffrey Ingham', 'Ethan Laidlaw', 'Ruth Lee', 'Charles McAvoy', 'Charles Miller', 'Monte Montague', 'Tom Quinn', 'Jack Rockwell', 'Paul Scardon', 'William Sundholm', 'Sid Troy', 'Nick Warwick', 'Robert J. Wilke', 'Jack Worth']",null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,tt0040568,Mare nostrum,Mare nostrum,null,movie,1948,6.4,null,33,[u'90'],[u'Black and White'],[u'Drama'],[u'Spanish'],"[u'The Spanish merchant ""Mare Nostrum"", captained by Ulises Ferragut, docked in September 1939 at the port of Naples to repair a breakdown. Walking through the ruins of Pompeii, Ferragut meets Freyra, an enigmatic and beautiful woman of whom she instantly falls madly in love, unaware that the girl is in fact a dangerous spy of the Third Reich.']","[u'Spain', u'Italy']",['Rafael Gil'],null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,tt0046946,null,null,null,movie,1955,5.7,null,9,[u'85'],[u'Black and White'],[u'Comedy'],[u'Spanish'],null,[u'Spain'],null,null,null,null,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,tt0047286,Nosotros dos,Nosotros dos,null,movie,1955,6.7,null,6,[u'85'],[u'Black and White'],"[u'Drama', u'Romance']",[u'Spanish'],null,"[u'Spain', u'Mexico']",null,null,null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,tt0047621,Tua per la vita,Tua per la vita,null,movie,1955,null,null,null,[u'France:87'],[u'Black and White'],[u'Drama'],[u'Italian'],null,"[u'France', u'Italy']",['Sergio Grieco'],"['Mario Caiano', 'Sergio Grieco', 'Nicola Manzari', 'Carlo Veo']",null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,tt0047655,Viento del norte,Viento del norte,null,movie,1954,null,null,null,[u'84'],[u'Black and White'],[u'Drama'],[u'Spanish'],null,[u'Spain'],['Antonio Momplet'],"['Antonio Momplet', 'Elena Quiroga', 'Manuel Tamayo']",null,null,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,tt0050667,Madrugada,Madrugada,null,movie,1957,6.5,null,11,[u'85'],[u'Black and White'],null,[u'Spanish'],"[u'A rich and famous painter dies leaving a secret that kept him apart from the woman he loved. Suspecting a family plot, she will try to unveil it keeping his death from the greedy relatives who are called in the middle of the night. She will try to find the truth before the dawn comes at last.']","[u'Spain', u'Portugal', u'Argentina']",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
